,precision,recall,f1-score,support
AA0,0.9142524384917746,0.9331352154531947,0.923597323332598,13460.0
AA1,0.8870530012771393,0.9238506941557901,0.9050779818381725,12029.0
AA2,0.7857142857142857,0.24405705229793978,0.3724304715840387,631.0
AW0,1.0,0.9705882352941176,0.9850746268656716,34.0
AW1,0.908256880733945,0.5025380710659898,0.6470588235294118,197.0
AY0,0.937888198757764,0.8228882833787466,0.8766328011611031,367.0
AY1,0.8893805309734514,0.9340148698884758,0.9111514052583862,1076.0
B,0.8702405758666414,0.9164173149810493,0.8927322191993782,5013.0
D,0.670982482863671,0.5822868473231989,0.6234961075725407,1513.0
EH0,0.8832020997375328,0.7010416666666667,0.7816492450638792,960.0
EH1,0.8146399055489965,0.8466257668711656,0.8303249097472925,815.0
ER0,0.0,0.0,0.0,32.0
EY1,0.3333333333333333,0.125,0.18181818181818182,16.0
F,0.5178571428571429,0.24166666666666667,0.32954545454545453,120.0
G,0.7099150141643059,0.6984392419175028,0.7041303737004777,1794.0
H,0.8012232415902141,0.7820895522388059,0.7915407854984894,670.0
IH1,0.0,0.0,0.0,0.0
IY0,0.8087463556851312,0.89541639767592,0.8498774509803921,4647.0
IY1,0.8689856279941679,0.85177623519804,0.8602948757603877,4898.0
IY2,0.2857142857142857,0.05517241379310345,0.09248554913294797,145.0
JH,0.8272727272727273,0.91,0.8666666666666667,100.0
K,0.8888888888888888,0.9168207024029574,0.902638762511374,4869.0
L,0.9288210410152657,0.8934890304317056,0.9108125169086482,5652.0
M,0.9113155473781048,0.900709219858156,0.9059813426010609,5499.0
N,0.8394095678463454,0.8983631518842786,0.8678863657258435,5254.0
NG,0.9159054271896829,0.9085820895522388,0.9122290607439122,3752.0
OW0,0.844275420336269,0.9307149161518093,0.8853904282115869,2266.0
OW1,0.9164691943127962,0.8934449898931562,0.9048106448311156,3463.0
OW2,0.0,0.0,0.0,0.0
OY0,0.07692307692307693,0.017241379310344827,0.028169014084507043,58.0
OY1,0.589041095890411,0.5,0.5408805031446541,86.0
P,0.7576086956521739,0.7740144364242088,0.7657237022795935,1801.0
R,0.9089347079037801,0.7524893314366998,0.8233463035019455,1406.0
S,0.9775389279316522,0.9513209065307765,0.9642517330433601,7457.0
SH,0.0,0.0,0.0,0.0
T,0.843456600881395,0.9022340643574503,0.8718558130322837,4879.0
UW0,0.8554216867469879,0.8580060422960725,0.8567119155354449,2317.0
UW1,0.8814159292035398,0.7603053435114504,0.8163934426229508,1310.0
UW2,0.0,0.0,0.0,0.0
V,0.87248322147651,0.37790697674418605,0.5273833671399595,344.0
W,0.9537037037037037,0.7761033369214209,0.8557863501483679,929.0
Y,0.9528957528957529,0.9405487804878049,0.9466820099731492,1312.0
Z,0.6060606060606061,0.6060606060606061,0.6060606060606061,33.0
accuracy,0.8816252322042607,0.8816252322042607,0.8816252322042607,0.8816252322042607
macro avg,0.703144819088685,0.639426972770272,0.6585716077989728,101204.0
weighted avg,0.8804993585159816,0.8816252322042607,0.8787288224106273,101204.0
